PhiL	ThetaL	PhiP	ThetaP	PhiPi	ThetaPi
0.000   6.044	4.695   2.917   1.457   -0.338
0.000   6.222	4.729   3.088   1.721   -0.125
0.000   0.074	1.556   0.062   1.624   0.118
0.000   5.321	4.699   2.181   1.526   -0.968
0.000   0.716	1.587   0.721   1.408   0.666
0.000   5.118	4.724   1.957   1.620   -1.080
0.000   0.241	1.552   0.233   1.644   0.269
0.000   6.002	4.701   2.857   1.535   -0.270
0.000   0.065	1.570   0.064   1.572   0.067
0.000   0.754	1.581   0.750   1.539   0.765
0.000   5.962	4.724   2.840   1.620   -0.400
0.000   0.434	1.560   0.451   1.654   0.301
0.000   0.260	1.567   0.282   1.585   0.174
0.000   5.527	4.727   2.404   1.626   -0.827
0.000   6.215	4.704   3.053   1.536   0.021
0.000   0.147	1.592   0.134   1.470   0.204
0.000   5.748	4.707   2.584   1.543   -0.421
0.000   0.003	1.572   0.027   1.566   -0.124
0.000   6.048	4.700   2.911   1.438   -0.290
0.000   0.307	1.554   0.315   1.716   0.241
0.000   0.835	1.570   0.811   1.573   0.933
0.000   0.071	1.554   0.072   1.627   0.070
0.000   6.033	4.705   2.871   1.522   -0.116
0.000   5.859	4.703   2.732   1.485   -0.551
0.000   6.221	4.734   3.078   1.661   -0.056
0.000   0.680	1.551   0.690   1.667   0.634
0.000   5.394	4.724   2.261   1.609   -0.920
0.000   0.866	1.589   0.855   1.503   0.908
0.000   5.533	4.717   2.369   1.601   -0.611
0.000   0.749	1.566   0.772   1.593   0.641
0.000   5.299	4.720   2.150   1.593   -0.963
0.000   0.391	1.576   0.408   1.528   0.243
0.000   5.500	4.695   2.370   1.506   -0.827
0.000   5.810	4.688   2.669   1.451   -0.475
0.000   0.660	1.553   0.672   1.639   0.611
0.000   5.304	4.717   2.178   1.586   -1.033
0.000   1.041	1.550   1.038   1.648   1.053
0.000   0.311	1.548   0.303   1.693   0.352
0.000   5.660	4.733   2.529   1.708   -0.694
0.000   0.076	1.571   0.077   1.569   0.072
0.000   0.436	1.556   0.451   1.626   0.380
0.000   6.239	4.711   3.121   1.563   -0.180
0.000   6.040	4.734   2.894   1.732   -0.211
0.000   5.983	4.727   2.835   1.622   -0.279
0.000   6.233	4.700   3.086   1.428   0.014
0.000   0.101	1.586   0.109   1.430   0.022
0.000   6.271	4.713   3.138   1.571   -0.040
0.000   0.631	1.561   0.616   1.605   0.689
0.000   0.261	1.589   0.264   1.412   0.235
0.000   0.140	1.590   0.130   1.492   0.181
0.000   5.880	4.717   2.741   1.585   -0.414
0.000   5.580	4.724   2.438   1.608   -0.705
0.000   6.200	4.713   3.063   1.574   -0.097
0.000   0.728	1.583   0.709   1.498   0.839
0.000   0.011	4.692   3.140   1.440   0.087
0.000   0.042	1.586   0.038   1.418   0.091
0.000   5.915	4.687   2.772   1.451   -0.362
0.000   0.756	1.588   0.763   1.503   0.730
0.000   5.903	4.735   2.763   1.712   -0.384
0.000   0.707	1.552   0.719   1.704   0.619
0.000   5.239	4.709   2.097   1.560   -1.043
0.000   5.765	4.706   2.642   1.546   -0.589
0.000   0.632	1.566   0.653   1.592   0.546
0.000   0.403	1.573   0.380   1.563   0.501
0.000   6.220	4.713   3.097   1.574   -0.125
0.000   6.176	4.719   3.020   1.637   0.030
0.000   0.396	1.592   0.398   1.491   0.386
0.000   0.857	1.554   0.874   1.663   0.764
0.000   6.252	4.711   3.087   1.567   0.071
0.000   0.683	1.554   0.688   1.636   0.660
0.000   0.970	1.576   0.971   1.554   0.969
0.000   0.214	1.577   0.193   1.528   0.366
0.000   0.053	1.572   0.049   1.567   0.062
0.000   0.320	1.574   0.299   1.546   0.469
0.000   5.793	4.707   2.641   1.552   -0.453
0.000   5.333	4.728   2.172   1.646   -0.854
0.000   5.994	4.732   2.840   1.660   -0.233
0.000   0.171	1.567   0.155   1.604   0.334
0.000   5.535	4.730   2.409   1.642   -0.816
0.000   6.152	4.701   2.991   1.507   -0.019
0.000   6.217	4.730   3.067   1.715   0.006
