Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
4.876	-1.102	0.000	3.683	-0.804	-0.024	1.194	-0.297	0.024
4.611	-1.934	-0.000	4.065	-1.631	0.066	0.545	-0.303	-0.066
4.996	0.190	-0.000	4.047	0.087	-0.063	0.949	0.104	0.063
3.288	-3.767	-0.000	2.533	-2.950	-0.059	0.755	-0.817	0.059
3.243	3.807	-0.000	2.567	3.101	-0.061	0.676	0.706	0.061
3.492	-3.578	0.000	2.821	-2.850	0.088	0.671	-0.727	-0.088
4.670	-1.786	0.000	4.297	-1.691	-0.031	0.373	-0.095	0.031
4.696	1.721	0.000	3.855	1.491	-0.053	0.841	0.230	0.053
3.243	-3.807	-0.000	2.586	-3.162	0.038	0.657	-0.645	-0.038
4.899	-1.002	-0.000	4.463	-0.844	0.016	0.437	-0.158	-0.016
4.331	-2.499	-0.000	3.271	-1.928	0.000	1.060	-0.571	-0.000
2.607	-4.266	-0.000	2.214	-3.801	-0.025	0.393	-0.465	0.025
3.267	3.785	0.000	2.486	2.981	0.005	0.781	0.805	-0.005
3.164	3.870	-0.000	2.428	3.096	-0.032	0.737	0.774	0.032
4.999	-0.107	-0.000	4.525	-0.124	0.072	0.474	0.018	-0.072
3.103	-3.922	0.000	2.456	-3.078	-0.065	0.647	-0.844	0.065
4.938	0.780	0.000	4.356	0.729	0.087	0.583	0.051	-0.087
4.942	0.758	-0.000	3.941	0.684	0.032	1.002	0.074	-0.032
4.539	2.098	-0.000	3.644	1.772	0.044	0.895	0.326	-0.044
4.816	-1.346	0.000	3.905	-1.189	0.004	0.911	-0.156	-0.004
4.920	0.889	0.000	4.080	0.749	0.098	0.841	0.140	-0.098
4.914	-0.925	-0.000	4.456	-0.815	0.072	0.458	-0.109	-0.072
4.586	1.992	-0.000	4.097	1.726	-0.075	0.489	0.266	0.075
3.419	3.647	-0.000	2.667	2.953	-0.048	0.753	0.694	0.048
4.551	-2.071	0.000	3.576	-1.672	0.069	0.975	-0.398	-0.069
4.383	-2.405	0.000	3.881	-2.122	-0.093	0.502	-0.282	0.093
4.351	2.464	-0.000	3.888	2.135	-0.071	0.463	0.329	0.071
4.835	1.275	0.000	3.886	0.984	-0.077	0.949	0.291	0.077
4.427	2.322	-0.000	3.521	1.793	0.072	0.906	0.529	-0.072
4.259	2.619	0.000	3.307	2.102	-0.058	0.951	0.517	0.058
1.404	-4.798	-0.000	1.067	-3.788	-0.075	0.337	-1.011	0.075
4.676	1.773	0.000	4.075	1.510	-0.088	0.601	0.264	0.088
2.247	-4.466	-0.000	1.745	-3.517	0.080	0.502	-0.949	-0.080
3.698	-3.364	0.000	2.964	-2.797	0.066	0.734	-0.567	-0.066
4.450	-2.279	0.000	3.602	-1.752	0.035	0.848	-0.527	-0.035
4.999	0.059	-0.000	4.301	0.070	0.100	0.699	-0.012	-0.100
4.985	-0.389	-0.000	4.078	-0.266	0.076	0.907	-0.123	-0.076
3.867	-3.170	0.000	2.927	-2.376	0.020	0.940	-0.793	-0.020
2.976	-4.017	-0.000	2.272	-3.157	0.056	0.703	-0.861	-0.056
